"time_series_name","index"
"z_YIW8LT0190_MO_OS_LinearNetworkCableadvertisingrevenue",79
"z_YIW8LT0190_MO_OS_LinearNetworkBroadcastingadvertisingrevenue",80
"z_YIW8LT0190_MO_OS_LinearNetworkDomesticchannelsadvertisingrevenue",81
"z_YIW8LT0190_MO_OS_LinearNetworkInternationalchannelsadvertisingrevenue",82
"z_YIW8LT0190_MO_OS_LinearNetworkAdvertisingrevenue",83
"z_YIW8LT0190_MO_OS_LinearNetworkOtherrevenue",84
"z_YIW8LT0190_MO_OS_LinearNetworkTotalrevenue",85
"z_YIW8LT0190_MO_OS_LinearNetworkOperatingexpenses",86
"z_YIW8LT0190_MO_OS_LinearNetworkSGA",87
"z_YIW8LT0190_MO_OS_LinearNetworkDA",88
"z_YIW8LT0190_MO_OS_LinearNetworkEquityintheincomeofinvestees",89
"z_YIW8LT0190_MO_OS_LinearNetworkOperatingIncome",90
"z_YIW8LT0190_MO_BlankRow_OS_113",91
"z_YIW8LT0190_MO_OS_LinearNetworkOperatingexpensesmargin",92
"z_YIW8LT0190_MO_OS_LinearNetworkSGAmargin",93
"z_YIW8LT0190_MO_OS_LinearNetworkOperatingincomemargin",94
"z_YIW8LT0190_MO_BlankRow_OS_117",95
"z_YIW8LT0190_MO_OS_LinearNetworkDomesticchannelsrevenue",96
"z_YIW8LT0190_MO_OS_LinearNetworkInternationalchannelsrevenue",97
"z_YIW8LT0190_MO_OS_LinearNetworkTotalrevenue_1",98
"z_YIW8LT0190_MO_BlankRow_OS_112",99
"z_YIW8LT0190_MO_OS_LinearNetworksDomesticchannelsoperatingincome",100
"z_YIW8LT0190_MO_OS_LinearNetworksInternationalchannelsoperatingincome",101
"z_YIW8LT0190_MO_OS_Equityintheincomeofinvestees_12",102
"z_YIW8LT0190_MO_OS_LinearNetworkOperatingIncome_2",103
"z_YIW8LT0190_MO_BlankRow_OS_91",104
"z_YIW8LT0190_MO_OS_LinearNetworkDomesticchannelsoperatingincomemargin",105
"z_YIW8LT0190_MO_OS_LinearNetworkInternationalchannelsoperatingincomemargin",106
"z_YIW8LT0190_MO_BlankRow_OS_111",107
"z_YIW8LT0190_MO_OS_DirecttoConsumerSubscriptionfeesrevenue",108
"z_YIW8LT0190_MO_OS_DirecttoConsumerAdvertisingrevenue",109
"z_YIW8LT0190_MO_OS_DirecttoConsumerTVSVODdistributionandotherrevenue",110
"z_YIW8LT0190_MO_OS_DirecttoConsumerTotalrevenue",111
"z_YIW8LT0190_MO_OS_DirecttoConsumerOperatingexpenses",112
"z_YIW8LT0190_MO_OS_DirecttoConsumerSGA",113
"z_YIW8LT0190_MO_OS_DirecttoConsumerDA",114
"z_YIW8LT0190_MO_OS_DirecttoConsumerEquityintheincomeofinvestees",115
"z_YIW8LT0190_MO_OS_DirecttoConsumerOperatingIncome",116
"z_YIW8LT0190_MO_BlankRow_OS_93",117
"z_YIW8LT0190_MO_OS_DirecttoConsumerOperatingexpensesmargin",118
"z_YIW8LT0190_MO_OS_DirecttoConsumerSGAmargin",119
"z_YIW8LT0190_MO_OS_DirecttoConsumerOperatingincomemargin",120
"z_YIW8LT0190_MO_BlankRow_OS_94",121
"z_YIW8LT0190_MO_OS_ContentSalesLicensingTVSVODdistributionrevenue",122
"z_YIW8LT0190_MO_OS_ContentSalesLicensingTheatricaldistributionrevenue",123
"z_YIW8LT0190_MO_OS_ContentSalesLicensingHomeentertainmentrevenue",124
"z_YIW8LT0190_MO_OS_ContentSalesLicensingOtherrevenue",125
"z_YIW8LT0190_MO_OS_ContentSalesLicensingTotalrevenue",126
"z_YIW8LT0190_MO_OS_ContentSalesLicensingOperatingexpenses",127
"z_YIW8LT0190_MO_OS_ContentSalesLicensingSGA",128
"z_YIW8LT0190_MO_OS_ContentSalesLicensingDA",129
"z_YIW8LT0190_MO_OS_ContentSalesLicensingEquityintheincomeofinvestees",130
"z_YIW8LT0190_MO_OS_ContentSalesLicensingOperatingIncome",131
"z_YIW8LT0190_MO_BlankRow_OS_95",132
"z_YIW8LT0190_MO_OS_ContentSalesLicensingOperatingexpensesmargin",133
"z_YIW8LT0190_MO_OS_ContentSalesLicensingSGAmargin",134
"z_YIW8LT0190_MO_OS_ContentSalesLicensingOperatingincomemargin",135
"z_YIW8LT0190_MO_BlankRow_OS_96",136
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionLinearNetworksrevenue",137
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionDirecttoConsumerrevenue",138
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionContentSalesLicensingandOtherrevenue",139
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionEliminationofIntrasegmentrevenue",140
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionTotalrevenue_1",141
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionOperatingexpenses",142
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionSGA",143
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionDA",144
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionEquityintheincomeofinvestees",145
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionOperatingIncome_1",146
"z_YIW8LT0190_MO_BlankRow_OS_97",147
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionOperatingincomemargin",148
"z_YIW8LT0190_MO_BlankRow_OS_98",149
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionDepreciation",150
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionAmortization",151
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionDADiscrepancy",152
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionDA_2",153
"z_YIW8LT0190_MO_BlankRow_OS_99",154
"z_YIW8LT0190_MO_OS_MediaandEntertainmentDistributionCapex",155
"z_YIW8LT0190_MO_BlankRow_OS_100",156
"MO_Section_KeyMetricsDirecttoConsumerOperatingStatsFS",157
"z_YIW8LT0190_MO_Section_OS_KeyMetricsDirecttoConsumerOperatingStatsFS",157
"z_YIW8LT0190_MO_OS_DisneySubscribers",158
"z_YIW8LT0190_MO_OS_QQDisneysubscribergrowth",159
"z_YIW8LT0190_MO_OS_YYDisneysubscribergrowth",160
"z_YIW8LT0190_MO_OS_DisneyARPU",161
"z_YIW8LT0190_MO_OS_QQDisneyARPUgrowth",162
"z_YIW8LT0190_MO_OS_YYDisneyARPUgrowth",163
"z_YIW8LT0190_MO_OS_Disneyrevenuecalculated",164
"z_YIW8LT0190_MO_BlankRow_OS_84",165
"z_YIW8LT0190_MO_OS_ESPNSubscribers",166
"z_YIW8LT0190_MO_OS_QQESPNsubscribergrowth",167
"z_YIW8LT0190_MO_OS_YYESPNsubscribergrowth",168
"z_YIW8LT0190_MO_OS_ESPNARPU",169
"z_YIW8LT0190_MO_OS_QQESPNARPUgrowth",170
"z_YIW8LT0190_MO_OS_YYESPNARPUgrowth",171
"z_YIW8LT0190_MO_OS_ESPNrevenuecalculated",172
