time_series_name,index
z_NVC8NN0168_MO_BlankRow_OS_84,81
z_NVC8NN0168_MO_OS_EMEAAveragePayingMemberships,82
z_NVC8NN0168_MO_OS_QQEMEAaveragepayingmembershipsgrowth,83
z_NVC8NN0168_MO_OS_YYEMEAaveragepayingmembershipsgrowth,84
z_NVC8NN0168_MO_BlankRow_OS_60,85
z_NVC8NN0168_MO_OS_EuropeMiddleEastAfricaStreamingARPU,86
z_NVC8NN0168_MO_OS_QQEMEAstreamingARPUgrowth,87
z_NVC8NN0168_MO_OS_Constantcurrencychangeascomparedtoprioryearperiod_1,88
z_NVC8NN0168_MO_GA_EuropeMiddleEastAfricaStreamingARPUGrowth,89
z_NVC8NN0168_MO_BlankRow_OS_61,90
z_NVC8NN0168_MO_OS_EuropeMiddleEastAfricaStreamingRevenue,91
z_NVC8NN0168_MO_OS_QQEMEAstreamingrevenuegrowth,92
z_NVC8NN0168_MO_GA_EuropeMiddleEastAfricaStreamingRevenueGrowth,93
z_NVC8NN0168_MO_BlankRow_OS_62,94
MO_Section_SegmentedResultsLatinAmericaStreamingFS,95
z_NVC8NN0168_MO_Section_OS_SegmentedResultsLatinAmericaStreamingFS,95
z_NVC8NN0168_MO_OS_BoPLatinAmericaPaidStreamingMemberships,96
z_NVC8NN0168_MO_OS_LatinAmericapaidstreamingmembershipsnetadditions,97
z_NVC8NN0168_MO_OS_LatinAmericaEOPpaidstreamingmemberships,98
z_NVC8NN0168_MO_OS_QQLatinAmericaEOPpaidstreamingmembershipsgrowth,99
z_NVC8NN0168_MO_GA_LatinAmericaEOPPaidStreamingMembershipGrowth,100
z_NVC8NN0168_MO_BlankRow_OS_92,101
z_NVC8NN0168_MO_OS_LatinAmericaAveragePayingMemberships,102
z_NVC8NN0168_MO_OS_QQLatinAmericaaveragepayingmembershipsgrowth,103
z_NVC8NN0168_MO_OS_YYLatinAmericaaveragepayingmembershipsgrowth,104
z_NVC8NN0168_MO_BlankRow_OS_65,105
z_NVC8NN0168_MO_OS_LatinAmericaStreamingARPU,106
z_NVC8NN0168_MO_OS_QQLatinAmericastreamingARPUgrowth,107
z_NVC8NN0168_MO_OS_Constantcurrencychangeascomparedtoprioryearperiod_2,108
z_NVC8NN0168_MO_GA_LatinAmericaStreamingARPUGrowth,109
z_NVC8NN0168_MO_BlankRow_OS_66,110
z_NVC8NN0168_MO_OS_LatinAmericaStreamingRevenue,111
z_NVC8NN0168_MO_OS_QQLatinAmericastreamingrevenuegrowth,112
z_NVC8NN0168_MO_GA_LatinAmericaStreamingRevenueGrowth,113
z_NVC8NN0168_MO_BlankRow_OS_67,114
MO_Section_SegmentedResultsAsiaPacificStreamingFS,115
z_NVC8NN0168_MO_Section_OS_SegmentedResultsAsiaPacificStreamingFS,115
z_NVC8NN0168_MO_OS_BoPAsiaPacificPaidStreamingMemberships,116
z_NVC8NN0168_MO_OS_AsiaPacificpaidstreamingmembershipsnetadditions,117
z_NVC8NN0168_MO_OS_AsiaPacificEOPpaidstreamingmemberships,118
z_NVC8NN0168_MO_OS_QQAsiaPacificEOPpaidstreamingmembershipsgrowth,119
z_NVC8NN0168_MO_GA_AsiaPacificEOPPaidStreamingMembershipGrowth,120
z_NVC8NN0168_MO_BlankRow_OS_93,121
z_NVC8NN0168_MO_OS_AsiaPacificAveragePayingMemberships,122
z_NVC8NN0168_MO_OS_QQAsiaPacificaveragepayingmembershipsgrowth,123
z_NVC8NN0168_MO_OS_YYAsiaPacificaveragepayingmembershipsgrowth,124
z_NVC8NN0168_MO_BlankRow_OS_70,125
z_NVC8NN0168_MO_OS_AsiaPacificStreamingARPU,126
z_NVC8NN0168_MO_OS_QQAsiaPacificstreamingARPUgrowth,127
z_NVC8NN0168_MO_OS_Constantcurrencychangeascomparedtoprioryearperiod_3,128
z_NVC8NN0168_MO_GA_AsiaPacificStreamingARPUGrowth,129
z_NVC8NN0168_MO_BlankRow_OS_71,130
z_NVC8NN0168_MO_OS_AsiaPacificStreamingRevenue,131
z_NVC8NN0168_MO_OS_QQAsiaPacificStreamingRevenuegrowth,132
z_NVC8NN0168_MO_GA_AsiaPacificStreamingRevenueGrowth,133
z_NVC8NN0168_MO_BlankRow_OS_72,134
MO_Section_SegmentedResultsUnitedStatesDVDFS,135
z_NVC8NN0168_MO_Section_OS_SegmentedResultsUnitedStatesDVDFS,135
z_NVC8NN0168_MO_OS_UnitedStatesDVDRevenue,136
z_NVC8NN0168_MO_OS_QQUnitedStatesDVDrevenuegrowth_1,137
z_NVC8NN0168_MO_GA_UnitedStatesDVDRevenueGrowth,138
z_NVC8NN0168_MO_BlankRow_OS_73,139
MO_Section_SegmentSummary,140
z_NVC8NN0168_MO_Section_OS_SegmentSummary,140
z_NVC8NN0168_MO_OS_InternationalEOPpaidstreamingmemberships,141
z_NVC8NN0168_MO_OS_UnitedStatesEOPpaidstreamingmemberships_1,142
z_NVC8NN0168_MO_OS_CalculatedCanadaEOPpaidstreamingmemberships_1,143
z_NVC8NN0168_MO_OS_UnitedStatesCanadaEOPPaidStreamingMemberships_1,144
z_NVC8NN0168_MO_OS_EMEAEOPPaidStreamingMemberships,145
z_NVC8NN0168_MO_OS_LatinAmericaEOPPaidStreamingMemberships_1,146
z_NVC8NN0168_MO_OS_AsiaPacificEOPPaidStreamingMemberships_1,147
z_NVC8NN0168_MO_OS_TotalEOPpaidstreamingmemberships,148
z_NVC8NN0168_MO_BlankRow_OS_94,149
z_NVC8NN0168_MO_OS_InternationalEOPpaidstreamingmembershipsmix,150
z_NVC8NN0168_MO_OS_UnitedStatesEOPpaidstreamingmembershipsmix,151
z_NVC8NN0168_MO_OS_CalculatedCanadaEOPpaidstreamingmembershipsmix,152
z_NVC8NN0168_MO_OS_UnitedStatesCanadaEOPPaidStreamingMembershipsmix,153
z_NVC8NN0168_MO_OS_EMEAEOPPaidStreamingMembershipsmix,154
z_NVC8NN0168_MO_OS_LatinAmericaEOPPaidStreamingMembershipsmix,155
z_NVC8NN0168_MO_OS_AsiaPacificEOPPaidStreamingMembershipsmix,156
z_NVC8NN0168_MO_OS_TotalEOPGlobalStreamingMembershipsMix,157
z_NVC8NN0168_MO_BlankRow_OS_74,158
z_NVC8NN0168_MO_OS_UnitedStatespaidstreamingmembershipsnetadditions_1,159
z_NVC8NN0168_MO_OS_Canadapaidstreamingmembershipsnetadditions_1,160
z_NVC8NN0168_MO_OS_UnitedStatesandCanadaPaidStreamingMembershipsNetAdditions_1,161
z_NVC8NN0168_MO_OS_EMEAPaidStreamingMembershipsNetAdditions,162
z_NVC8NN0168_MO_OS_LatinAmericaPaidStreamingMembershipsNetAdditions_1,163
z_NVC8NN0168_MO_OS_AsiaPacificPaidStreamingMembershipsNetAdditions_1,164
z_NVC8NN0168_MO_OS_Totalpaidstreamingmembershipsnetadditions,165
